code_geo,code_commune,libelle_commune,population_municipale,population_totale,annee
59001,001,Abancourt,459,475,2021
59002,002,Abscon,4203,4235,2021
59003,003,Aibes,364,371,2021
59004,004,Aix-en-Pévèle,1358,1368,2021
59005,005,Allennes-les-Marais,3567,3627,2021
59006,006,Amfroipret,223,227,2021
59007,007,Anhiers,893,902,2021
59008,008,Aniche,9997,10057,2021
59010,010,Anneux,260,261,2021
59011,011,Annœullin,10780,10879,2021
59012,012,Anor,3204,3240,2021
59013,013,Anstaing,1601,1626,2021
59014,014,Anzin,13422,13504,2021
59015,015,Arleux,3151,3177,2021
59016,016,Armbouts-Cappel,2125,2169,2021
59017,017,Armentières,25581,25950,2021
59018,018,Arnèke,1561,1578,2021
59019,019,Artres,1064,1075,2021
59021,021,Assevent,1796,1811,2021
59022,022,Attiches,2238,2268,2021
59023,023,Aubencheul-au-Bac,538,545,2021
59024,024,Auberchicourt,4626,4663,2021
59025,025,Aubers,1722,1752,2021
59026,026,Aubigny-au-Bac,1159,1175,2021
59027,027,Aubry-du-Hainaut,1726,1742,2021
59028,028,Auby,7188,7222,2021
59029,029,Auchy-lez-Orchies,1486,1506,2021
59031,031,Audignies,369,375,2021
59032,032,Aulnoy-lez-Valenciennes,7183,7252,2021
59033,033,Aulnoye-Aymeries,8756,8994,2021
59034,034,Avelin,2600,2642,2021
59035,035,Avesnelles,2280,2326,2021
59038,038,Avesnes-le-Sec,1447,1465,2021
59037,037,Avesnes-les-Aubert,3606,3647,2021
59036,036,Avesnes-sur-Helpe,4118,4254,2021
59039,039,Awoingt,790,814,2021
59041,041,Bachant,2258,2274,2021
59042,042,Bachy,1883,1915,2021
59043,043,Bailleul,14869,15098,2021
59044,044,Baisieux,5177,5224,2021
59045,045,Baives,163,168,2021
59046,046,Bambecque,832,834,2021
59047,047,Banteux,351,354,2021
59048,048,Bantigny,507,515,2021
59049,049,Bantouzelle,440,447,2021
59050,050,Bas-Lieu,339,347,2021
59051,051,La Bassée,6622,6660,2021
59052,052,Bauvin,4999,5042,2021
59053,053,Bavay,3246,3306,2021
59054,054,Bavinchove,1046,1054,2021
59055,055,Bazuel,537,546,2021
59056,056,Beaucamps-Ligny,844,867,2021
59057,057,Beaudignies,568,572,2021
59058,058,Beaufort,1024,1037,2021
59059,059,Beaumont-en-Cambrésis,452,459,2021
59060,060,Beaurain,233,239,2021
59061,061,Beaurepaire-sur-Sambre,275,277,2021
59062,062,Beaurieux,164,171,2021
59063,063,Beauvois-en-Cambrésis,1959,1976,2021
59064,064,Bellaing,1329,1341,2021
59065,065,Bellignies,809,827,2021
59066,066,Bérelles,162,167,2021
59067,067,Bergues,3561,3601,2021
59068,068,Berlaimont,3180,3216,2021
59069,069,Bermerain,763,775,2021
59070,070,Bermeries,378,381,2021
59071,071,Bersée,2296,2345,2021
59072,072,Bersillies,250,252,2021
59073,073,Berthen,597,607,2021
59074,074,Bertry,2148,2173,2021
59075,075,Béthencourt,716,721,2021
59076,076,Bettignies,309,314,2021
59077,077,Bettrechies,258,264,2021
59078,078,Beugnies,611,617,2021
59079,079,Beuvrages,6784,6818,2021
59080,080,Beuvry-la-Forêt,2834,2875,2021
59081,081,Bévillers,549,561,2021
59082,082,Bierne,1772,1798,2021
59083,083,Bissezeele,246,257,2021
59084,084,Blaringhem,2043,2073,2021
59085,085,Blécourt,306,312,2021
59086,086,Boeschepe,2179,2209,2021
59087,087,Boëseghem,741,754,2021
59088,088,Bois-Grenier,1793,1817,2021
59089,089,Bollezeele,1423,1453,2021
59090,090,Bondues,9713,9896,2021
59091,091,Borre,576,591,2021
59092,092,Bouchain,3996,4025,2021
59093,093,Boulogne-sur-Helpe,310,316,2021
59094,094,Bourbourg,7023,7072,2021
