code_geo,code_commune,libelle_commune,population_municipale,population_totale,annee
59001,001,Abancourt,459,475,2016
59002,002,Abscon,4203,4235,2016
59003,003,Aibes,364,371,2016
59004,004,Aix-en-Pévèle,1358,1368,2016
59005,005,Allennes-les-Marais,3567,3627,2016
59006,006,Amfroipret,223,227,2016
59007,007,Anhiers,893,902,2016
59008,008,Aniche,9997,10057,2016
59010,010,Anneux,260,261,2016
59011,011,Annœullin,10780,10879,2016
59012,012,Anor,3204,3240,2016
59013,013,Anstaing,1601,1626,2016
59014,014,Anzin,13422,13504,2016
59015,015,Arleux,3151,3177,2016
59016,016,Armbouts-Cappel,2125,2169,2016
59017,017,Armentières,25581,25950,2016
59018,018,Arnèke,1561,1578,2016
59019,019,Artres,1064,1075,2016
59021,021,Assevent,1796,1811,2016
59022,022,Attiches,2238,2268,2016
59023,023,Aubencheul-au-Bac,538,545,2016
59024,024,Auberchicourt,4626,4663,2016
59025,025,Aubers,1722,1752,2016
59026,026,Aubigny-au-Bac,1159,1175,2016
59027,027,Aubry-du-Hainaut,1726,1742,2016
59028,028,Auby,7188,7222,2016
59029,029,Auchy-lez-Orchies,1486,1506,2016
59031,031,Audignies,369,375,2016
59032,032,Aulnoy-lez-Valenciennes,7183,7252,2016
59033,033,Aulnoye-Aymeries,8756,8994,2016
59034,034,Avelin,2600,2642,2016
59035,035,Avesnelles,2280,2326,2016
59038,038,Avesnes-le-Sec,1447,1465,2016
59037,037,Avesnes-les-Aubert,3606,3647,2016
59036,036,Avesnes-sur-Helpe,4118,4254,2016
59039,039,Awoingt,790,814,2016
59041,041,Bachant,2258,2274,2016
59042,042,Bachy,1883,1915,2016
59043,043,Bailleul,14869,15098,2016
59044,044,Baisieux,5177,5224,2016
59045,045,Baives,163,168,2016
59046,046,Bambecque,832,834,2016
59047,047,Banteux,351,354,2016
59048,048,Bantigny,507,515,2016
59049,049,Bantouzelle,440,447,2016
59050,050,Bas-Lieu,339,347,2016
59051,051,La Bassée,6622,6660,2016
59052,052,Bauvin,4999,5042,2016
59053,053,Bavay,3246,3306,2016
59054,054,Bavinchove,1046,1054,2016
59055,055,Bazuel,537,546,2016
59056,056,Beaucamps-Ligny,844,867,2016
59057,057,Beaudignies,568,572,2016
59058,058,Beaufort,1024,1037,2016
59059,059,Beaumont-en-Cambrésis,452,459,2016
59060,060,Beaurain,233,239,2016
59061,061,Beaurepaire-sur-Sambre,275,277,2016
59062,062,Beaurieux,164,171,2016
59063,063,Beauvois-en-Cambrésis,1959,1976,2016
59064,064,Bellaing,1329,1341,2016
59065,065,Bellignies,809,827,2016
59066,066,Bérelles,162,167,2016
59067,067,Bergues,3561,3601,2016
59068,068,Berlaimont,3180,3216,2016
59069,069,Bermerain,763,775,2016
59070,070,Bermeries,378,381,2016
59071,071,Bersée,2296,2345,2016
59072,072,Bersillies,250,252,2016
59073,073,Berthen,597,607,2016
59074,074,Bertry,2148,2173,2016
59075,075,Béthencourt,716,721,2016
59076,076,Bettignies,309,314,2016
59077,077,Bettrechies,258,264,2016
59078,078,Beugnies,611,617,2016
59079,079,Beuvrages,6784,6818,2016
59080,080,Beuvry-la-Forêt,2834,2875,2016
59081,081,Bévillers,549,561,2016
59082,082,Bierne,1772,1798,2016
59083,083,Bissezeele,246,257,2016
59084,084,Blaringhem,2043,2073,2016
59085,085,Blécourt,306,312,2016
59086,086,Boeschepe,2179,2209,2016
59087,087,Boëseghem,741,754,2016
59088,088,Bois-Grenier,1793,1817,2016
59089,089,Bollezeele,1423,1453,2016
59090,090,Bondues,9713,9896,2016
59091,091,Borre,576,591,2016
59092,092,Bouchain,3996,4025,2016
59093,093,Boulogne-sur-Helpe,310,316,2016
59094,094,Bourbourg,7023,7072,2016
59096,096,Bourghelles,1673,1713,2016
59097,097,Boursies,392,394,2016
59098,098,Bousbecque,4847,4902,2016
59099,099,Bousies,1771,1798,2016
59100,100,Bousignies,349,361,2016
