code_geo,libelle_commune,revenu_median,annee
59001,Abancourt,22772,2016
59002,Abscon,17482,2016
59003,Aibes,17514,2016
59004,Aix-en-Pévèle,25532,2016
59005,Allennes-les-Marais,22985,2016
59006,Amfroipret,24860,2016
59007,Anhiers,19649,2016
59008,Aniche,15799,2016
59009,Villeneuve-d'Ascq,19900,2016
59010,Anneux,20865,2016
59011,Annoeullin,21040,2016
59012,Anor,17072,2016
59013,Anstaing,24253,2016
59014,Anzin,14963,2016
59015,Arleux,19845,2016
59016,Armbouts-Cappel,22284,2016
59017,Armentières,17264,2016
59018,Arnèke,19539,2016
59019,Artres,22752,2016
59021,Assevent,19471,2016
59022,Attiches,24071,2016
59023,Aubencheul-au-Bac,21629,2016
59024,Auberchicourt,18157,2016
59025,Aubers,27613,2016
59026,Aubigny-au-Bac,20809,2016
59027,Aubry-du-Hainaut,23462,2016
59028,Auby,16623,2016
59029,Auchy-lez-Orchies,24980,2016
59031,Audignies,23086,2016
59032,Aulnoy-lez-Valenciennes,17953,2016
59033,Aulnoye-Aymeries,16545,2016
59034,Avelin,27384,2016
59035,Avesnelles,18500,2016
59036,Avesnes-sur-Helpe,14204,2016
59037,Avesnes-les-Aubert,17599,2016
59038,Avesnes-le-Sec,20382,2016
59039,Awoingt,22664,2016
59041,Bachant,17569,2016
59042,Bachy,24915,2016
59043,Bailleul,20994,2016
59044,Baisieux,24511,2016
59045,Baives,18107,2016
59046,Bambecque,19319,2016
59047,Banteux,18327,2016
59048,Bantigny,22500,2016
59049,Bantouzelle,18517,2016
59050,Bas-Lieu,20601,2016
59051,La Bassée,18819,2016
59052,Bauvin,20365,2016
59053,Bavay,18379,2016
59054,Bavinchove,20784,2016
59055,Bazuel,17630,2016
59056,Beaucamps-Ligny,27237,2016
59057,Beaudignies,20787,2016
59058,Beaufort,20893,2016
59059,Beaumont-en-Cambrésis,17835,2016
59060,Beaurain,19059,2016
59061,Beaurepaire-sur-Sambre,17676,2016
59062,Beaurieux,22157,2016
59063,Beauvois-en-Cambrésis,17952,2016
59064,Bellaing,19952,2016
59065,Bellignies,20711,2016
59066,Bérelles,22968,2016
59067,Bergues,19373,2016
59068,Berlaimont,18438,2016
59069,Bermerain,20848,2016
59070,Bermeries,22159,2016
59071,Bersée,24905,2016
59072,Bersillies,22083,2016
59073,Berthen,21979,2016
59074,Bertry,18413,2016
59075,Béthencourt,19347,2016
