code_geo,annee,nb_faits_total,population_insee,nb_indicateurs,taux_delinquance
59001,2022,0.0,450.0,7,0.0
59002,2022,69.0,4160.0,7,16.59
59003,2022,0.0,357.0,9,0.0
59004,2022,0.0,1348.0,4,0.0
59005,2022,39.0,3549.0,5,10.99
59006,2022,0.0,609.0,6,0.0
59007,2022,0.0,895.0,4,0.0
59008,2022,495.0,10001.0,11,49.5
59009,2022,4660.0,62342.0,15,74.75
59010,2022,0.0,256.0,8,0.0
59011,2022,484.0,10887.0,12,44.46
59012,2022,47.0,3152.0,7,14.91
59013,2022,17.0,1643.0,5,10.35
59014,2022,762.0,13417.0,13,56.79
59015,2022,91.0,3148.0,8,28.91
59016,2022,21.0,2097.0,4,10.01
59017,2022,1581.0,26107.0,13,60.56
59018,2022,5.0,1557.0,5,3.21
59019,2022,0.0,1073.0,3,0.0
59021,2022,20.0,1782.0,4,11.22
59022,2022,33.0,2241.0,6,14.73
59023,2022,0.0,535.0,4,0.0
59024,2022,121.0,4626.0,10,26.16
59025,2022,9.0,1746.0,5,5.15
59026,2022,10.0,1167.0,5,8.57
59027,2022,23.0,1715.0,4,13.41
59028,2022,297.0,7171.0,11,41.42
59029,2022,5.0,1542.0,3,3.24
59031,2022,0.0,364.0,8,0.0
59032,2022,288.0,7125.0,11,40.42
59033,2022,471.0,8674.0,11,54.3
59034,2022,80.0,2575.0,8,31.07
59035,2022,63.0,2254.0,7,27.95
59036,2022,246.0,4088.0,7,60.18
59037,2022,118.0,3584.0,7,32.92
59038,2022,0.0,1453.0,4,0.0
59039,2022,0.0,773.0,6,0.0
59041,2022,38.0,2246.0,5,16.92
59042,2022,0.0,1890.0,3,0.0
59043,2022,591.0,14734.0,12,40.11
59044,2022,105.0,5361.0,9,19.59
59045,2022,0.0,161.0,8,0.0
59046,2022,0.0,842.0,7,0.0
59047,2022,0.0,343.0,7,0.0
59048,2022,0.0,499.0,7,0.0
59049,2022,0.0,443.0,8,0.0
59050,2022,0.0,344.0,4,0.0
59051,2022,286.0,6678.0,11,42.83
59052,2022,122.0,5124.0,6,23.81
59053,2022,113.0,3240.0,8,34.88
59054,2022,0.0,1046.0,4,0.0
59055,2022,5.0,549.0,5,9.11
59056,2022,0.0,845.0,5,0.0
59057,2022,0.0,572.0,6,0.0
59058,2022,0.0,1008.0,3,0.0
59059,2022,0.0,457.0,6,0.0
59060,2022,0.0,233.0,7,0.0
59061,2022,0.0,277.0,7,0.0
59062,2022,0.0,167.0,12,0.0
59063,2022,28.0,1948.0,6,14.37
59064,2022,13.0,1315.0,5,9.89
59065,2022,0.0,810.0,4,0.0
59066,2022,0.0,162.0,13,0.0
59067,2022,102.0,3543.0,7,28.79
59068,2022,82.0,3169.0,8,25.88
59069,2022,8.0,778.0,4,10.28
59071,2022,18.0,2289.0,5,7.86
59072,2022,0.0,243.0,8,0.0
59073,2022,0.0,618.0,6,0.0
59074,2022,37.0,2138.0,6,17.31
59075,2022,0.0,697.0,6,0.0
59076,2022,0.0,355.0,6,0.0
59077,2022,0.0,254.0,10,0.0
59078,2022,0.0,608.0,4,0.0
59079,2022,203.0,6791.0,9,29.89
59080,2022,46.0,2852.0,7,16.13
59081,2022,0.0,537.0,6,0.0
59082,2022,0.0,1744.0,4,0.0
59083,2022,0.0,242.0,12,0.0
59084,2022,8.0,2046.0,4,3.91
59085,2022,0.0,309.0,8,0.0
59086,2022,7.0,2212.0,3,3.16
59087,2022,0.0,738.0,6,0.0
59088,2022,21.0,1784.0,5,11.77
59089,2022,0.0,1425.0,3,0.0
59090,2022,362.0,9666.0,10,37.45
59091,2022,0.0,564.0,4,0.0
59092,2022,89.0,4054.0,6,21.95
59093,2022,0.0,294.0,8,0.0
59094,2022,232.0,6958.0,9,33.34
59096,2022,0.0,1678.0,3,0.0
59097,2022,0.0,376.0,7,0.0
59098,2022,95.0,4956.0,7,19.17
59099,2022,18.0,1770.0,6,10.17
59100,2022,0.0,344.0,11,0.0
59101,2022,0.0,374.0,9,0.0
59102,2022,0.0,450.0,7,0.0
59103,2022,0.0,517.0,4,0.0
59104,2022,33.0,3139.0,4,10.51
59105,2022,0.0,1564.0,3,0.0
59106,2022,5.0,766.0,4,6.53
59107,2022,132.0,4284.0,7,30.81
59108,2022,0.0,695.0,4,0.0
59109,2022,0.0,764.0,5,0.0
59110,2022,0.0,1454.0,4,0.0
