code_geo,annee,cambriolages_de_logement,destructions_et_d_gradations_volontaires,escroqueries_et_fraudes_aux_moyens_de_paiement,trafic_de_stup_fiants,usage_de_stup_fiants,usage_de_stup_fiants_afd,violences_physiques_hors_cadre_familial,violences_physiques_intrafamiliales,violences_sexuelles,vols_avec_armes,vols_d_accessoires_sur_v_hicules,vols_dans_les_v_hicules,vols_de_v_hicule,vols_sans_violence_contre_des_personnes,vols_violents_sans_arme
59001,2016,,,,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,0.0
59001,2022,,,,0.0,0.0,0.0,,,0.0,0.0,,,,0.0,0.0
59002,2016,2.7,20.95,2.25,,,0.0,1.35,,,,2.03,5.41,2.25,4.28,
59002,2022,1.44,5.29,2.88,0.0,,,1.2,3.85,,,,,,1.92,
59003,2016,,,,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,0.0
59003,2022,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
59004,2016,,,,0.0,,0.0,,,,0.0,0.0,,,,0.0
59004,2022,,,,0.0,,0.0,,,,0.0,,,,,0.0
59005,2016,,8.67,2.6,0.0,,0.0,,,,0.0,,2.89,,,
59005,2022,,4.51,3.66,,,,,1.41,,,,,1.41,,0.0
59006,2016,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,0.0
59006,2022,,,,0.0,,0.0,,,,0.0,0.0,0.0,,,0.0
59007,2016,,,,,,0.0,,,,0.0,,,,,0.0
59007,2022,,,,0.0,0.0,0.0,,,,,,,,,0.0
59008,2016,2.04,16.11,2.23,,2.52,0.0,3.79,3.49,0.49,,1.65,2.62,2.81,3.69,0.87
59008,2022,3.2,10.7,4.9,,4.7,,5.2,6.5,2.6,,2.2,3.1,1.2,5.2,
59009,2016,6.85,14.34,5.61,0.59,2.63,0.0,3.16,1.35,0.87,0.21,5.6,20.59,7.54,13.94,2.26
59009,2022,4.76,11.44,6.37,0.96,2.17,0.82,3.34,3.54,1.81,0.14,8.65,12.85,5.17,11.58,1.15
59010,2016,,,,0.0,0.0,0.0,,,0.0,,,0.0,0.0,,0.0
59010,2022,,,,0.0,,0.0,0.0,,,0.0,0.0,0.0,0.0,,0.0
59011,2016,1.81,10.2,2.57,,6.86,0.0,4.86,0.86,0.67,,1.62,2.1,1.72,3.15,
59011,2022,,8.63,3.77,1.56,9.92,2.02,7.07,3.21,3.12,,1.29,0.55,0.92,2.39,
59012,2016,3.06,7.96,1.84,,,0.0,,2.45,,,,,2.45,4.59,
59012,2022,2.86,6.03,,0.0,,,,,1.59,0.0,,,,4.44,0.0
59013,2016,,13.27,,0.0,,0.0,,,,0.0,,,,,
59013,2022,4.26,3.04,3.04,0.0,,,,,,0.0,,,,,
59014,2016,4.69,18.32,3.65,,2.53,0.0,4.17,3.58,1.12,,2.09,2.76,3.13,11.1,1.94
59014,2022,3.58,10.29,3.95,1.49,5.74,,4.99,8.35,2.83,,1.57,2.68,2.09,8.2,1.04
59015,2016,,12.78,,,,0.0,2.24,,,0.0,,1.92,,3.83,
59015,2022,1.59,7.62,4.76,,,,2.86,3.18,,0.0,,,1.91,6.99,
59016,2016,,6.53,,0.0,,0.0,,,,0.0,,,,,0.0
59016,2022,,7.63,,0.0,,,,,,0.0,,2.38,,,
59017,2016,1.96,15.63,3.8,0.6,8.43,0.0,6.72,4.08,1.44,,0.8,5.24,2.48,11.27,2.0
59017,2022,4.14,11.99,3.75,,3.64,2.95,5.94,7.97,3.49,,2.76,2.15,2.18,8.54,1.07
59018,2016,,3.66,,,,0.0,,,,0.0,,,,,
59018,2022,,,3.21,0.0,,0.0,,,,0.0,,,,,0.0
59019,2016,,,,,,0.0,,,,0.0,,,,,0.0
59019,2022,,,,0.0,,,,,,0.0,,,,,0.0
59021,2016,3.81,3.27,,,,0.0,,,,0.0,,,,,
59021,2022,,5.05,6.17,0.0,,,,,,0.0,,,,,
59022,2016,2.65,3.97,3.09,0.0,,0.0,,,0.0,,,,,,0.0
59022,2022,,6.25,6.25,0.0,,,,,,0.0,,,,2.23,0.0
59023,2016,,,,0.0,,0.0,,,,0.0,,,,,0.0
59023,2022,,,,,,0.0,,,,0.0,,,0.0,,0.0
