code_geo,annee,taux_faible_diplome
59001,2016,53.61
59001,2022,57.86
59002,2016,51.2
59002,2022,48.22
59003,2016,43.98
59003,2022,44.65
59004,2016,58.73
59004,2022,62.86
59005,2016,58.76
59005,2022,56.85
59006,2016,55.44
59006,2022,58.39
59007,2016,48.73
59007,2022,45.5
59008,2016,50.3
59008,2022,47.0
59009,2016,66.78
59009,2022,68.9
59010,2016,57.71
59010,2022,53.91
59011,2016,58.73
59011,2022,57.61
59012,2016,53.37
59012,2022,53.16
59013,2016,64.01
59013,2022,65.11
59014,2016,55.82
59014,2022,55.19
59015,2016,55.13
59015,2022,53.03
59016,2016,53.1
59016,2022,51.28
59017,2016,59.94
59017,2022,57.84
59018,2016,61.51
59018,2022,55.88
59019,2016,59.32
59019,2022,61.23
59021,2016,51.24
59021,2022,49.66
59022,2016,59.21
59022,2022,63.54
59023,2016,52.76
59023,2022,50.27
59024,2016,51.83
59024,2022,51.75
59025,2016,63.9
59025,2022,66.75
59026,2016,53.2
59026,2022,46.71
59027,2016,59.88
59027,2022,59.25
59028,2016,56.47
59028,2022,50.78
59029,2016,60.63
59029,2022,64.12
59031,2016,54.62
59031,2022,53.17
59032,2016,54.93
59032,2022,53.4
59033,2016,48.99
59033,2022,50.02
59034,2016,62.56
59034,2022,67.07
59035,2016,57.71
59035,2022,57.18
59036,2016,61.21
59036,2022,57.05
59037,2016,52.16
59037,2022,52.92
59038,2016,50.24
59038,2022,50.66
59039,2016,57.21
59039,2022,61.23
59041,2016,47.58
59041,2022,44.74
59042,2016,61.97
59042,2022,61.41
59043,2016,57.6
59043,2022,59.02
59044,2016,62.82
59044,2022,65.98
59045,2016,58.97
59045,2022,52.1
59046,2016,55.69
59046,2022,52.22
59047,2016,49.42
59047,2022,51.36
59048,2016,54.08
59048,2022,52.33
59049,2016,59.86
59049,2022,49.49
59050,2016,50.61
59050,2022,48.32
59051,2016,56.44
59051,2022,57.01
59052,2016,53.2
59052,2022,53.08
59053,2016,54.61
59053,2022,55.55
59054,2016,53.79
59054,2022,52.3
59055,2016,57.49
59055,2022,54.44
59056,2016,70.4
59056,2022,70.87
59057,2016,51.22
59057,2022,53.0
59058,2016,50.59
59058,2022,51.32
59059,2016,56.64
59059,2022,47.89
59060,2016,54.19
59060,2022,52.53
59061,2016,59.6
59061,2022,53.99
59062,2016,50.86
59062,2022,54.31
59063,2016,52.44
59063,2022,50.19
59064,2016,50.69
59064,2022,50.56
59065,2016,51.45
59065,2022,49.92
59066,2016,50.0
59066,2022,43.44
59067,2016,59.78
59067,2022,60.89
59068,2016,53.52
59068,2022,49.78
59069,2016,54.54
59069,2022,55.67
59071,2016,59.12
59071,2022,62.23
59072,2016,46.19
59072,2022,45.13
59073,2016,57.46
59073,2022,53.27
59074,2016,52.8
59074,2022,51.06
59075,2016,51.97
59075,2022,48.28
59076,2016,44.88
59076,2022,40.82
59077,2016,60.57
59077,2022,60.44
59078,2016,50.88
59078,2022,53.07
59079,2016,49.63
59079,2022,52.24
59080,2016,57.48
59080,2022,60.14
59081,2016,55.3
59081,2022,55.1
59082,2016,51.31
59082,2022,49.57
59083,2016,59.17
59083,2022,61.9
59084,2016,54.06
59084,2022,54.66
59085,2016,52.17
59085,2022,52.27
59086,2016,58.19
59086,2022,58.2
59087,2016,53.66
59087,2022,49.06
59088,2016,65.67
59088,2022,64.34
59089,2016,57.59
59089,2022,54.54
59090,2016,70.63
59090,2022,75.29
59091,2016,54.55
59091,2022,50.17
59092,2016,52.6
59092,2022,50.74
59093,2016,50.0
59093,2022,46.22
59094,2016,53.39
59094,2022,51.93
59096,2016,64.63
59096,2022,67.28
59097,2016,45.49
59097,2022,43.6
59098,2016,56.28
59098,2022,56.73
59099,2016,54.39
59099,2022,56.06
59100,2016,58.22
59100,2022,63.83
59101,2016,51.35
59101,2022,46.97
59102,2016,54.74
59102,2022,48.79
59103,2016,47.58
59103,2022,48.34
59104,2016,49.83
59104,2022,48.23
59105,2016,60.83
59105,2022,61.17
59106,2016,67.51
59106,2022,70.66
59107,2016,53.04
59107,2022,52.5
59108,2016,56.04
59108,2022,53.0
59109,2016,63.49
59109,2022,61.17
59110,2016,50.36
59110,2022,52.65
59111,2016,45.71
59111,2022,46.65
59112,2016,52.57
59112,2022,52.74
59113,2016,47.97
59113,2022,47.58
59114,2016,57.28
59114,2022,59.0
59115,2016,53.17
59115,2022,52.22
59116,2016,64.69
59116,2022,65.44
59117,2016,51.71
59117,2022,50.47
59118,2016,54.48
59118,2022,48.39
59119,2016,53.3
59119,2022,54.59
59120,2016,57.21
59120,2022,56.92
59121,2016,59.92
59121,2022,56.29
59122,2016,57.86
59122,2022,57.57
59123,2016,56.29
59123,2022,61.4
59124,2016,65.67
59124,2022,68.33
59125,2016,51.3
59125,2022,53.65
59126,2016,52.4
59126,2022,51.23
59127,2016,57.14
59127,2022,59.22
59128,2016,66.94
59128,2022,66.86
59129,2016,61.48
59129,2022,64.91
59130,2016,54.56
59130,2022,49.65
59131,2016,53.37
59131,2022,50.23
59132,2016,55.56
59132,2022,49.68
59133,2016,60.0
59133,2022,64.62
59134,2016,53.03
59134,2022,49.72
59135,2016,61.77
59135,2022,58.24
59136,2016,59.71
59136,2022,56.12
59137,2016,55.96
59137,2022,47.91
59138,2016,50.41
59138,2022,56.99
59139,2016,57.95
59139,2022,55.13
59140,2016,55.59
59140,2022,49.3
59141,2016,54.24
59141,2022,50.82
59142,2016,45.7
59142,2022,48.61
59143,2016,58.2
59143,2022,59.91
59144,2016,55.34
59144,2022,56.57
59145,2016,56.83
59145,2022,62.48
59146,2016,64.0
59146,2022,67.79
59147,2016,48.84
59147,2022,60.47
59148,2016,48.33
59148,2022,53.14
59149,2016,54.65
59149,2022,51.48
59150,2016,66.93
59150,2022,68.08
59151,2016,49.79
59151,2022,48.86
59152,2016,58.66
59152,2022,56.71
59153,2016,59.35
59153,2022,55.79
59155,2016,54.71
59155,2022,53.22
59156,2016,54.29
59156,2022,54.71
59157,2016,53.48
59157,2022,48.68
59158,2016,60.52
59158,2022,61.87
59159,2016,48.42
59159,2022,53.52
59160,2016,53.35
59160,2022,47.96
59161,2016,56.18
59161,2022,50.49
59162,2016,54.91
59162,2022,53.05
59163,2016,67.26
59163,2022,67.06
59164,2016,57.07
59164,2022,55.07
59165,2016,53.85
59165,2022,53.94
59166,2016,59.4
59166,2022,59.68
59167,2016,50.34
59167,2022,47.18
59168,2016,65.7
59168,2022,65.92
59169,2016,46.39
59169,2022,49.7
59170,2016,54.06
59170,2022,53.4
59171,2016,53.57
59171,2022,50.0
59172,2016,57.82
59172,2022,54.13
59173,2016,58.17
59173,2022,56.84
59174,2016,54.25
59174,2022,52.59
59175,2016,50.42
59175,2022,49.57
59176,2016,50.85
59176,2022,54.5
59177,2016,51.6
59177,2022,51.65
59178,2016,58.66
59178,2022,58.41
59179,2016,49.59
59179,2022,51.01
59180,2016,57.19
59180,2022,57.86
59181,2016,53.92
59181,2022,55.59
59182,2016,45.88
59182,2022,49.22
59183,2016,57.92
59183,2022,56.61
59184,2016,53.29
59184,2022,52.34
59185,2016,54.02
59185,2022,50.32
59186,2016,62.32
59186,2022,47.37
59187,2016,55.46
59187,2022,52.09
59188,2016,38.46
59188,2022,37.0
59189,2016,58.73
59189,2022,58.97
59190,2016,52.52
59190,2022,51.89
59191,2016,55.6
59191,2022,50.95
59192,2016,51.44
59192,2022,49.31
59193,2016,59.29
59193,2022,62.75
59194,2016,56.93
59194,2022,56.0
59195,2016,62.5
59195,2022,63.25
59196,2016,66.32
59196,2022,65.2
59197,2016,61.98
59197,2022,64.94
59198,2016,54.64
59198,2022,56.6
59199,2016,51.91
59199,2022,52.25
59200,2016,52.56
59200,2022,53.39
59201,2016,66.16
59201,2022,63.7
59202,2016,56.59
59202,2022,55.07
59203,2016,54.92
59203,2022,50.52
59204,2016,52.2
59204,2022,53.41
59205,2016,52.97
59205,2022,52.12
59206,2016,55.05
59206,2022,54.55
59207,2016,51.73
59207,2022,50.45
59208,2016,76.58
59208,2022,79.12
59209,2016,50.09
59209,2022,51.77
59210,2016,53.95
59210,2022,53.14
59211,2016,53.62
59211,2022,57.99
59212,2016,56.03
59212,2022,54.66
59213,2016,56.1
59213,2022,54.4
59214,2016,58.46
59214,2022,55.43
59215,2016,61.14
59215,2022,61.46
59216,2016,55.02
59216,2022,58.17
59217,2016,60.24
59217,2022,65.27
59218,2016,53.9
59218,2022,51.12
59219,2016,59.93
59219,2022,59.48
59220,2016,63.23
59220,2022,63.05
59221,2016,58.9
59221,2022,59.46
59222,2016,58.25
59222,2022,59.14
59223,2016,54.66
59223,2022,52.22
59224,2016,58.68
59224,2022,56.7
59225,2016,51.73
59225,2022,51.51
59226,2016,59.56
59226,2022,58.53
59227,2016,51.07
59227,2022,49.45
59228,2016,53.36
59228,2022,55.24
59229,2016,58.29
59229,2022,56.12
59230,2016,51.07
59230,2022,50.94
59231,2016,49.68
59231,2022,50.42
59232,2016,51.48
59232,2022,56.81
59233,2016,51.67
59233,2022,49.24
59234,2016,51.7
