code_commune,commune,candidat,nb_votes,2017_votes,2017_target,2022_votes,2022_target,inscrits,abstentions,votants,exprimes,pct_abstention,pct_CENTRE,pct_DROITE,pct_GAUCHE,pct_DIVERS,taux_chomage,revenu_median,taux_faible_diplome,taux_delinquance,nb_faits_total,population_municipale,population_totale,Tg
1,Abancourt,LE PEN,94,30.23,1,29.64,1,358,42,316,311,11.73,18.33,58.2,20.26,3.22,9.09,22772.0,53.61,0.0,0.0,461,474,1
1,Abancourt,FILLON,67,21.54,0,27.69,0,358,42,316,311,11.73,18.33,58.2,20.26,3.22,9.09,22772.0,53.61,0.0,0.0,461,474,0
2,Abscon,LE PEN,931,42.55,1,49.04,1,2805,557,2248,2188,19.86,14.95,55.58,28.47,1.01,20.42,17482.0,51.2,41.22,183.0,4440,4475,1
2,Abscon,MÉLENCHON,495,22.62,0,18.0,0,2805,557,2248,2188,19.86,14.95,55.58,28.47,1.01,20.42,17482.0,51.2,41.22,183.0,4440,4475,0
3,Aibes,LE PEN,88,43.14,1,41.0,1,249,40,209,204,16.06,12.75,66.18,19.12,1.96,3.23,17514.0,43.98,0.0,0.0,374,380,1
3,Aibes,MÉLENCHON,31,15.2,0,19.0,0,249,40,209,204,16.06,12.75,66.18,19.12,1.96,3.23,17514.0,43.98,0.0,0.0,374,380,0
4,Aix,FILLON,246,31.1,1,37.8,1,877,74,803,791,8.44,22.38,59.17,17.19,1.26,3.85,25532.0,58.73,0.0,0.0,1185,1199,1
4,Aix,LE PEN,177,22.38,0,24.91,0,877,74,803,791,8.44,22.38,59.17,17.19,1.26,3.85,25532.0,58.73,0.0,0.0,1185,1199,0
5,Allennes-les-Marais,LE PEN,599,26.63,1,29.43,1,2744,435,2309,2249,15.85,22.01,48.91,27.7,1.38,9.38,22985.0,58.76,14.15,49.0,3462,3508,1
5,Allennes-les-Marais,MACRON,495,22.01,0,28.45,0,2744,435,2309,2249,15.85,22.01,48.91,27.7,1.38,9.38,22985.0,58.76,14.15,49.0,3462,3508,0
6,Amfroipret,LE PEN,44,30.14,1,39.42,1,175,23,152,146,13.14,17.12,63.01,19.86,0.0,10.52,24860.0,55.44,0.0,0.0,228,236,1
6,Amfroipret,FILLON,34,23.29,0,27.01,0,175,23,152,146,13.14,17.12,63.01,19.86,0.0,10.52,24860.0,55.44,0.0,0.0,228,236,0
7,Anhiers,LE PEN,228,43.1,1,46.51,1,626,87,539,529,13.9,15.12,54.25,28.73,1.89,13.51,19649.0,48.73,0.0,0.0,904,917,1
7,Anhiers,MÉLENCHON,136,25.71,0,16.77,0,626,87,539,529,13.9,15.12,54.25,28.73,1.89,13.51,19649.0,48.73,0.0,0.0,904,917,0
8,Aniche,LE PEN,1930,41.42,1,44.63,1,6791,2029,4762,4660,29.88,12.51,52.3,33.95,1.24,23.83,15799.0,50.3,42.32,436.0,10303,10417,1
8,Aniche,MÉLENCHON,1260,27.04,0,20.82,0,6791,2029,4762,4660,29.88,12.51,52.3,33.95,1.24,23.83,15799.0,50.3,42.32,436.0,10303,10417,0
9,Villeneuve-d'Ascq,MÉLENCHON,8386,27.82,1,34.2,1,39182,8412,30770,30143,21.47,25.93,34.68,37.61,1.77,18.06,19900.0,66.78,85.52,5333.0,62358,63085,1
9,Villeneuve-d'Ascq,MACRON,7816,25.93,0,29.46,0,39182,8412,30770,30143,21.47,25.93,34.68,37.61,1.77,18.06,19900.0,66.78,85.52,5333.0,62358,63085,0
10,Anneux,LE PEN,59,35.76,1,40.54,1,197,24,173,165,12.18,20.0,55.76,23.64,0.61,13.99,20865.0,57.71,0.0,0.0,279,283,1
10,Anneux,MACRON,33,20.0,0,33.11,0,197,24,173,165,12.18,20.0,55.76,23.64,0.61,13.99,20865.0,57.71,0.0,0.0,279,283,0
