code_geo,code_commune,libelle_commune,annee,inscrits,abstentions,votants,exprimes,pct_abstention,nom_cand1,nom_cand2,nom_cand3,nom_cand4,nom_cand5,pct_cand1,pct_cand2,pct_cand3,pct_cand4,pct_cand5,bloc_cand1,bloc_cand2,bloc_cand3,bloc_cand4,bloc_cand5,pct_CENTRE,pct_DIVERS,pct_DROITE,pct_GAUCHE,taux_chomage,revenu_median,taux_faible_diplome,taux_delinquance,nb_faits_total,population_municipale,population_totale,bloc_vainqueur,cible_binaire,nom_vainqueur
59220,00220,Faches-Thumesnil,2022,12224,3322,8902,8740,27.18,MÉLENCHON,MACRON,LE PEN,ZEMMOUR,JADOT,33.89,27.46,18.75,5.02,4.55,GAUCHE,CENTRE,DROITE,DROITE,GAUCHE,27.46,1.51,27.4,43.63,10.97,22280.0,63.05,51.61,945.0,18110,18227,GAUCHE,1,MÉLENCHON
59350,00350,Lille,2022,38543,11101,27442,27035,28.8,MÉLENCHON,MÉLENCHON,MACRON,MACRON,MÉLENCHON,47.4,36.61,25.39,24.06,44.51,GAUCHE,GAUCHE,CENTRE,CENTRE,GAUCHE,83.86,3.78,64.67,174.4,15.26,20520.0,73.11,134.33,32065.0,236710,238542,GAUCHE,1,MÉLENCHON
59360,00360,Loos,2022,12746,4145,8601,8469,32.52,MÉLENCHON,LE PEN,MACRON,ZEMMOUR,JADOT,32.0,24.12,23.08,4.85,4.0,GAUCHE,DROITE,CENTRE,DROITE,GAUCHE,23.08,1.52,32.94,42.45,14.52,19610.0,60.49,46.98,1078.0,23013,23271,GAUCHE,1,MÉLENCHON
59009,00009,Villeneuve-d'Ascq,2022,39567,11086,28481,27984,28.02,MÉLENCHON,MACRON,LE PEN,JADOT,ZEMMOUR,34.2,29.46,14.35,5.91,4.82,GAUCHE,CENTRE,DROITE,GAUCHE,DROITE,29.46,1.32,23.7,45.52,15.37,22000.0,68.9,74.75,4660.0,62067,62700,GAUCHE,1,MÉLENCHON
59346,00346,Lezennes,2022,2527,570,1957,1916,22.56,MÉLENCHON,MACRON,LE PEN,JADOT,HIDALGO,28.13,25.42,18.79,6.68,5.01,GAUCHE,CENTRE,DROITE,GAUCHE,GAUCHE,25.42,1.72,26.67,46.19,11.66,25880.0,67.66,65.07,193.0,3019,3038,GAUCHE,1,MÉLENCHON
59410,00410,Mons-en-Baroeul,2022,12718,3713,9005,8843,29.19,MÉLENCHON,MACRON,LE PEN,JADOT,ZEMMOUR,38.62,24.71,17.17,5.19,4.18,GAUCHE,CENTRE,DROITE,GAUCHE,DROITE,24.71,1.11,25.2,48.99,14.86,19570.0,66.8,45.68,976.0,21467,21600,GAUCHE,1,MÉLENCHON
59507,00507,Ronchin,2022,12249,3229,9020,8845,26.36,MÉLENCHON,MACRON,LE PEN,JADOT,ZEMMOUR,31.48,27.13,19.8,4.74,4.28,GAUCHE,CENTRE,DROITE,GAUCHE,DROITE,27.13,1.5,28.08,43.28,11.76,22130.0,63.77,43.68,849.0,19437,19573,GAUCHE,1,MÉLENCHON
59003,00003,Aibes,2022,248,47,201,200,18.95,LE PEN,MACRON,MÉLENCHON,ZEMMOUR,DUPONT-AIGNAN,41.0,19.0,13.0,9.5,7.0,DROITE,CENTRE,GAUCHE,DROITE,DROITE,19.0,3.5,60.0,17.5,12.13,22970.0,44.65,0.0,0.0,364,371,DROITE,0,LE PEN
59006,00006,Amfroipret,2022,193,51,142,137,26.42,LE PEN,MACRON,MÉLENCHON,LASSALLE,ZEMMOUR,39.42,27.01,13.14,5.11,5.11,DROITE,CENTRE,GAUCHE,DIVERS,DROITE,27.01,5.11,49.64,18.25,3.17,27530.0,58.39,0.0,0.0,223,227,DROITE,0,LE PEN
59012,00012,Anor,2022,2304,762,1542,1515,33.07,LE PEN,MACRON,MÉLENCHON,ZEMMOUR,ROUSSEL,42.77,19.14,18.02,6.6,2.9,DROITE,CENTRE,GAUCHE,DROITE,GAUCHE,19.14,1.91,53.2,25.74,21.53,18490.0,53.16,14.91,47.0,3204,3240,DROITE,0,LE PEN
