code_geo,code_commune,libelle_commune,annee,inscrits,abstentions,votants,exprimes,pct_abstention,nom_cand1,nom_cand2,nom_cand3,nom_cand4,nom_cand5,pct_cand1,pct_cand2,pct_cand3,pct_cand4,pct_cand5,bloc_cand1,bloc_cand2,bloc_cand3,bloc_cand4,bloc_cand5,pct_CENTRE,pct_DIVERS,pct_DROITE,pct_GAUCHE,taux_chomage,revenu_median,taux_faible_diplome,taux_delinquance,nb_faits_total,population_municipale,population_totale,bloc_vainqueur,cible_binaire,nom_vainqueur
59001,00001,Abancourt,2017,358,42,316,311,11.73,LE PEN,FILLON,MACRON,MÉLENCHON,DUPONT-AIGNAN,30.23,21.54,18.33,13.83,6.43,DROITE,DROITE,CENTRE,GAUCHE,DROITE,18.33,3.22,58.2,20.26,9.09,22772.0,53.61,0.0,0.0,459,475,DROITE,0,LE PEN
59002,00002,Abscon,2017,2805,557,2248,2188,19.86,LE PEN,MÉLENCHON,MACRON,FILLON,HAMON,42.55,22.62,14.95,8.87,4.2,DROITE,GAUCHE,CENTRE,DROITE,GAUCHE,14.95,1.01,55.58,28.47,20.42,17482.0,51.2,41.22,183.0,4203,4235,DROITE,0,LE PEN
59003,00003,Aibes,2017,249,40,209,204,16.06,LE PEN,MÉLENCHON,FILLON,MACRON,DUPONT-AIGNAN,43.14,15.2,13.24,12.75,9.8,DROITE,GAUCHE,DROITE,CENTRE,DROITE,12.75,1.96,66.18,19.12,3.23,17514.0,43.98,0.0,0.0,364,371,DROITE,0,LE PEN
59004,00004,Aix,2017,877,74,803,791,8.44,FILLON,LE PEN,MACRON,MÉLENCHON,DUPONT-AIGNAN,31.1,22.38,22.38,11.76,5.69,DROITE,DROITE,CENTRE,GAUCHE,DROITE,22.38,1.26,59.17,17.19,3.85,25532.0,58.73,0.0,0.0,1358,1368,DROITE,0,FILLON
59005,00005,Allennes-les-Marais,2017,2744,435,2309,2249,15.85,LE PEN,MACRON,MÉLENCHON,FILLON,DUPONT-AIGNAN,26.63,22.01,20.19,15.92,6.36,DROITE,CENTRE,GAUCHE,DROITE,DROITE,22.01,1.38,48.91,27.7,9.38,22985.0,58.76,14.15,49.0,3567,3627,DROITE,0,LE PEN
59006,00006,Amfroipret,2017,175,23,152,146,13.14,LE PEN,FILLON,MACRON,MÉLENCHON,DUPONT-AIGNAN,30.14,23.29,17.12,15.75,9.59,DROITE,DROITE,CENTRE,GAUCHE,DROITE,17.12,0.0,63.01,19.86,10.52,24860.0,55.44,0.0,0.0,223,227,DROITE,0,LE PEN
59007,00007,Anhiers,2017,626,87,539,529,13.9,LE PEN,MÉLENCHON,MACRON,FILLON,DUPONT-AIGNAN,43.1,25.71,15.12,7.94,3.21,DROITE,GAUCHE,CENTRE,DROITE,DROITE,15.12,1.89,54.25,28.73,13.51,19649.0,48.73,0.0,0.0,893,902,DROITE,0,LE PEN
59008,00008,Aniche,2017,6791,2029,4762,4660,29.88,LE PEN,MÉLENCHON,MACRON,FILLON,HAMON,41.42,27.04,12.51,6.87,4.53,DROITE,GAUCHE,CENTRE,DROITE,GAUCHE,12.51,1.24,52.3,33.95,23.83,15799.0,50.3,42.32,436.0,9997,10057,DROITE,0,LE PEN
59009,00009,Villeneuve-d'Ascq,2017,39182,8412,30770,30143,21.47,MÉLENCHON,MACRON,FILLON,LE PEN,HAMON,27.82,25.93,16.21,15.21,8.39,GAUCHE,CENTRE,DROITE,DROITE,GAUCHE,25.93,1.77,34.68,37.61,18.06,19900.0,66.78,85.52,5333.0,62067,62700,GAUCHE,1,MÉLENCHON
59010,00010,Anneux,2017,197,24,173,165,12.18,LE PEN,MACRON,MÉLENCHON,FILLON,DUPONT-AIGNAN,35.76,20.0,18.79,15.76,4.24,DROITE,CENTRE,GAUCHE,DROITE,DROITE,20.0,0.61,55.76,23.64,13.99,20865.0,57.71,0.0,0.0,260,261,DROITE,0,LE PEN
59011,00011,Annoeullin,2017,7410,1592,5818,5599,21.48,LE PEN,MACRON,MÉLENCHON,FILLON,HAMON,32.67,21.18,18.13,13.9,6.32,DROITE,CENTRE,GAUCHE,DROITE,GAUCHE,21.18,1.41,51.49,25.92,12.73,21040.0,58.73,36.42,382.0,10780,10879,DROITE,0,LE PEN
59012,00012,Anor,2017,2294,624,1670,1621,27.2,LE PEN,MÉLENCHON,MACRON,FILLON,DUPONT-AIGNAN,37.38,20.54,17.21,10.06,5.37,DROITE,GAUCHE,CENTRE,DROITE,DROITE,17.21,1.42,52.81,28.56,22.35,17072.0,53.37,22.34,73.0,3204,3240,DROITE,0,LE PEN
59013,00013,Anstaing,2017,1113,163,950,925,14.65,MACRON,MÉLENCHON,FILLON,LE PEN,HAMON,24.32,23.78,19.89,17.84,7.24,CENTRE,GAUCHE,DROITE,DROITE,GAUCHE,24.32,1.3,41.95,32.43,4.29,24253.0,64.01,13.27,19.0,1601,1626,CENTRE,1,MACRON
59014,00014,Anzin,2017,8649,2722,5927,5790,31.47,LE PEN,MÉLENCHON,MACRON,FILLON,HAMON,39.55,24.77,15.28,7.67,5.56,DROITE,GAUCHE,CENTRE,DROITE,GAUCHE,15.28,1.35,50.76,32.61,28.56,14963.0,55.82,59.06,793.0,13422,13504,DROITE,0,LE PEN
59015,00015,Arleux,2017,2291,406,1885,1838,17.72,LE PEN,MÉLENCHON,MACRON,FILLON,DUPONT-AIGNAN,44.23,17.25,13.71,12.51,6.2,DROITE,GAUCHE,CENTRE,DROITE,DROITE,13.71,1.31,62.95,22.03,15.62,19845.0,55.13,20.77,65.0,3151,3177,DROITE,0,LE PEN
59016,00016,Armbouts-Cappel,2017,1854,237,1617,1570,12.78,LE PEN,MACRON,MÉLENCHON,FILLON,DUPONT-AIGNAN,34.46,19.62,18.79,13.95,6.11,DROITE,CENTRE,GAUCHE,DROITE,DROITE,19.62,1.08,54.52,24.78,8.09,22284.0,53.1,6.53,15.0,2125,2169,DROITE,0,LE PEN
