code_geo,code_commune,libelle_commune,annee,inscrits,abstentions,votants,exprimes,pct_abstention,nom_cand1,nom_cand2,nom_cand3,nom_cand4,nom_cand5,pct_cand1,pct_cand2,pct_cand3,pct_cand4,pct_cand5,bloc_cand1,bloc_cand2,bloc_cand3,bloc_cand4,bloc_cand5,pct_CENTRE,pct_DIVERS,pct_DROITE,pct_GAUCHE,bloc_vainqueur,taux_chomage,nb_chomeurs,nb_actifs,population_mun,population_tot,taux_delinquance,nb_faits_total,nb_indicateurs,bloc_vainqueur_encoded
59001,00001,Abancourt,2017,358,42,316,311,11.73,LE PEN,FILLON,MACRON,MÉLENCHON,DUPONT-AIGNAN,30.23,21.54,18.33,13.83,6.43,DROITE,DROITE,CENTRE,GAUCHE,DROITE,18.33,3.22,58.2,20.26,DROITE,9.09,19.91361,219.04968,461,474,0.0,0.0,7.0,2
59002,00002,Abscon,2017,2805,557,2248,2188,19.86,LE PEN,MÉLENCHON,MACRON,FILLON,HAMON,42.55,22.62,14.95,8.87,4.2,DROITE,GAUCHE,CENTRE,DROITE,GAUCHE,14.95,1.01,55.58,28.47,DROITE,20.42,386.2135,1890.98377,4440,4475,41.22,183.0,9.0,2
59003,00003,Aibes,2017,249,40,209,204,16.06,LE PEN,MÉLENCHON,FILLON,MACRON,DUPONT-AIGNAN,43.14,15.2,13.24,12.75,9.8,DROITE,GAUCHE,DROITE,CENTRE,DROITE,12.75,1.96,66.18,19.12,DROITE,3.23,5.05405,156.67568,374,380,0.0,0.0,7.0,2
59004,00004,Aix,2017,877,74,803,791,8.44,FILLON,LE PEN,MACRON,MÉLENCHON,DUPONT-AIGNAN,31.1,22.38,22.38,11.76,5.69,DROITE,DROITE,CENTRE,GAUCHE,DROITE,22.38,1.26,59.17,17.19,DROITE,3.85,24.28279,631.35246,1185,1199,0.0,0.0,5.0,2
59005,00005,Allennes-les-Marais,2017,2744,435,2309,2249,15.85,LE PEN,MACRON,MÉLENCHON,FILLON,DUPONT-AIGNAN,26.63,22.01,20.19,15.92,6.36,DROITE,CENTRE,GAUCHE,DROITE,DROITE,22.01,1.38,48.91,27.7,DROITE,9.38,169.19476,1803.18456,3462,3508,14.15,49.0,6.0,2
59006,00006,Amfroipret,2017,175,23,152,146,13.14,LE PEN,FILLON,MACRON,MÉLENCHON,DUPONT-AIGNAN,30.14,23.29,17.12,15.75,9.59,DROITE,DROITE,CENTRE,GAUCHE,DROITE,17.12,0.0,63.01,19.86,DROITE,10.52,30.38551,288.73409,228,236,0.0,0.0,8.0,2
59007,00007,Anhiers,2017,626,87,539,529,13.9,LE PEN,MÉLENCHON,MACRON,FILLON,DUPONT-AIGNAN,43.1,25.71,15.12,7.94,3.21,DROITE,GAUCHE,CENTRE,DROITE,DROITE,15.12,1.89,54.25,28.73,DROITE,13.51,50.0,370.0,904,917,0.0,0.0,3.0,2
59008,00008,Aniche,2017,6791,2029,4762,4660,29.88,LE PEN,MÉLENCHON,MACRON,FILLON,HAMON,41.42,27.04,12.51,6.87,4.53,DROITE,GAUCHE,CENTRE,DROITE,GAUCHE,12.51,1.24,52.3,33.95,DROITE,23.83,1030.00709,4321.4697,10303,10417,42.32,436.0,13.0,2
59009,00009,Villeneuve-d'Ascq,2017,39182,8412,30770,30143,21.47,MÉLENCHON,MACRON,FILLON,LE PEN,HAMON,27.82,25.93,16.21,15.21,8.39,GAUCHE,CENTRE,DROITE,DROITE,GAUCHE,25.93,1.77,34.68,37.61,GAUCHE,18.06,5065.33239,28045.2491,62358,63085,85.52,5333.0,15.0,0
59010,00010,Anneux,2017,197,24,173,165,12.18,LE PEN,MACRON,MÉLENCHON,FILLON,DUPONT-AIGNAN,35.76,20.0,18.79,15.76,4.24,DROITE,CENTRE,GAUCHE,DROITE,DROITE,20.0,0.61,55.76,23.64,DROITE,13.99,19.92857,142.48929,279,283,0.0,0.0,7.0,2
59011,00011,Annoeullin,2017,7410,1592,5818,5599,21.48,LE PEN,MACRON,MÉLENCHON,FILLON,HAMON,32.67,21.18,18.13,13.9,6.32,DROITE,CENTRE,GAUCHE,DROITE,GAUCHE,21.18,1.41,51.49,25.92,DROITE,12.73,620.0,4870.0,10490,10597,36.42,382.0,12.0,2
59012,00012,Anor,2017,2294,624,1670,1621,27.2,LE PEN,MÉLENCHON,MACRON,FILLON,DUPONT-AIGNAN,37.38,20.54,17.21,10.06,5.37,DROITE,GAUCHE,CENTRE,DROITE,DROITE,17.21,1.42,52.81,28.56,DROITE,22.35,289.15994,1293.61025,3267,3318,22.34,73.0,7.0,2
59013,00013,Anstaing,2017,1113,163,950,925,14.65,MACRON,MÉLENCHON,FILLON,LE PEN,HAMON,24.32,23.78,19.89,17.84,7.24,CENTRE,GAUCHE,DROITE,DROITE,GAUCHE,24.32,1.3,41.95,32.43,DROITE,4.29,30.0,700.0,1432,1446,13.27,19.0,4.0,2
59014,00014,Anzin,2017,8649,2722,5927,5790,31.47,LE PEN,MÉLENCHON,MACRON,FILLON,HAMON,39.55,24.77,15.28,7.67,5.56,DROITE,GAUCHE,CENTRE,DROITE,GAUCHE,15.28,1.35,50.76,32.61,DROITE,28.56,1578.01408,5524.31295,13426,13586,59.06,793.0,13.0,2
59015,00015,Arleux,2017,2291,406,1885,1838,17.72,LE PEN,MÉLENCHON,MACRON,FILLON,DUPONT-AIGNAN,44.23,17.25,13.71,12.51,6.2,DROITE,GAUCHE,CENTRE,DROITE,DROITE,13.71,1.31,62.95,22.03,DROITE,15.62,222.17535,1422.10903,3130,3158,20.77,65.0,6.0,2
59016,00016,Armbouts-Cappel,2017,1854,237,1617,1570,12.78,LE PEN,MACRON,MÉLENCHON,FILLON,DUPONT-AIGNAN,34.46,19.62,18.79,13.95,6.11,DROITE,CENTRE,GAUCHE,DROITE,DROITE,19.62,1.08,54.52,24.78,DROITE,8.09,83.82027,1036.50668,2296,2344,6.53,15.0,5.0,2
59017,00017,Armentières,2017,17127,4966,12161,11857,29.0,LE PEN,MÉLENCHON,MACRON,FILLON,HAMON,29.03,24.26,19.1,11.65,7.99,DROITE,GAUCHE,CENTRE,DROITE,GAUCHE,19.1,1.68,44.75,34.47,DROITE,19.85,2182.99746,10999.36891,25015,25373,64.44,1612.0,14.0,2
59018,00018,Arnèke,2017,1167,161,1006,984,13.8,LE PEN,FILLON,MACRON,MÉLENCHON,DUPONT-AIGNAN,27.13,22.66,19.51,17.17,6.4,DROITE,DROITE,CENTRE,GAUCHE,DROITE,19.51,1.73,56.2,22.56,DROITE,11.26,70.84709,629.06061,1641,1679,3.66,6.0,3.0,2
59019,00019,Artres,2017,741,118,623,611,15.92,LE PEN,MACRON,MÉLENCHON,FILLON,DUPONT-AIGNAN,30.44,22.91,16.53,16.2,6.38,DROITE,CENTRE,GAUCHE,DROITE,DROITE,22.91,2.29,53.03,21.77,DROITE,14.05,69.99904,498.1128,1053,1065,0.0,0.0,3.0,2
59021,00021,Assevent,2017,1302,223,1079,1045,17.13,LE PEN,MACRON,MÉLENCHON,FILLON,DUPONT-AIGNAN,42.2,18.66,17.99,9.86,5.07,DROITE,CENTRE,GAUCHE,DROITE,DROITE,18.66,1.24,57.13,22.97,DROITE,16.77,140.92105,840.49338,1837,1857,7.08,13.0,4.0,2
59022,00022,Attiches,2017,1862,292,1570,1541,15.68,LE PEN,MACRON,FILLON,MÉLENCHON,HAMON,28.62,21.8,19.73,15.7,5.52,DROITE,CENTRE,DROITE,GAUCHE,GAUCHE,21.8,1.95,53.54,22.71,DROITE,9.65,110.14685,1141.52189,2268,2300,9.7,22.0,7.0,2
59023,00023,Aubencheul-au-Bac,2017,421,64,357,341,15.2,LE PEN,FILLON,MÉLENCHON,MACRON,DUPONT-AIGNAN,36.66,16.72,15.84,13.78,10.56,DROITE,DROITE,GAUCHE,CENTRE,DROITE,13.78,1.76,63.93,20.53,DROITE,13.71,31.26861,228.09163,530,535,0.0,0.0,4.0,2
59024,00024,Auberchicourt,2017,3241,709,2532,2455,21.88,LE PEN,MÉLENCHON,MACRON,FILLON,HAMON,38.29,21.83,17.07,8.51,6.84,DROITE,GAUCHE,CENTRE,DROITE,GAUCHE,17.07,0.69,51.32,30.92,DROITE,17.81,331.55079,1861.4123,4405,4437,27.47,121.0,10.0,2
59025,00025,Aubers,2017,1385,221,1164,1146,15.96,FILLON,MACRON,LE PEN,MÉLENCHON,DUPONT-AIGNAN,31.5,23.56,19.46,10.56,6.28,DROITE,CENTRE,DROITE,GAUCHE,DROITE,23.56,2.53,57.24,16.67,DROITE,6.16,45.0,730.0,1610,1629,0.0,0.0,3.0,2
59026,00026,Aubigny-au-Bac,2017,886,148,738,718,16.7,LE PEN,MÉLENCHON,MACRON,FILLON,DUPONT-AIGNAN,46.8,14.48,14.07,11.0,6.96,DROITE,GAUCHE,CENTRE,DROITE,DROITE,14.07,1.95,64.76,19.22,DROITE,13.93,77.29336,554.90855,1184,1210,11.82,14.0,3.0,2
59027,00027,Aubry-du-Hainaut,2017,1267,194,1073,1042,15.31,LE PEN,MACRON,FILLON,MÉLENCHON,DUPONT-AIGNAN,27.35,23.13,20.92,15.36,5.85,DROITE,CENTRE,DROITE,GAUCHE,DROITE,23.13,1.82,54.13,20.92,DROITE,8.82,57.99437,657.26953,1651,1667,12.72,21.0,7.0,2
59028,00028,Auby,2017,4991,1107,3884,3797,22.18,LE PEN,MÉLENCHON,MACRON,FILLON,HAMON,37.32,33.53,12.3,5.5,5.27,DROITE,GAUCHE,CENTRE,DROITE,GAUCHE,12.3,1.69,45.22,40.8,DROITE,25.66,789.1304,3074.94689,7285,7344,44.61,325.0,12.0,2
59029,00029,Auchy-lez-Orchies,2017,1030,112,918,900,10.87,FILLON,LE PEN,MACRON,MÉLENCHON,DUPONT-AIGNAN,29.78,23.11,20.11,14.33,6.22,DROITE,DROITE,CENTRE,GAUCHE,DROITE,20.11,1.67,59.11,19.11,DROITE,6.8,50.76209,746.20278,1532,1553,16.32,25.0,5.0,2
59031,00031,Audignies,2017,298,57,241,238,19.13,LE PEN,FILLON,MACRON,MÉLENCHON,DUPONT-AIGNAN,39.92,23.95,14.71,14.71,2.52,DROITE,DROITE,CENTRE,GAUCHE,DROITE,14.71,1.26,66.39,17.65,DROITE,2.5,4.87705,195.08197,357,361,0.0,0.0,8.0,2
59032,00032,Aulnoy-lez-Valenciennes,2017,4741,1130,3611,3520,23.83,LE PEN,MÉLENCHON,MACRON,FILLON,HAMON,34.01,22.67,18.66,11.05,5.99,DROITE,GAUCHE,CENTRE,DROITE,GAUCHE,18.66,1.28,49.46,30.6,DROITE,19.65,636.28808,3237.40758,7316,7385,48.52,355.0,11.0,2
59033,00033,Aulnoye-Aymeries,2017,6691,2019,4672,4540,30.17,LE PEN,MÉLENCHON,MACRON,FILLON,HAMON,33.74,31.54,14.05,8.99,4.38,DROITE,GAUCHE,CENTRE,DROITE,GAUCHE,14.05,1.54,46.23,38.17,DROITE,26.66,975.17468,3658.03784,8856,9093,39.18,347.0,12.0,2
59034,00034,Avelin,2017,2182,344,1838,1808,15.77,FILLON,MACRON,LE PEN,MÉLENCHON,DUPONT-AIGNAN,28.98,25.11,21.63,10.95,6.03,DROITE,CENTRE,DROITE,GAUCHE,DROITE,25.11,1.0,56.64,17.26,DROITE,7.17,99.59325,1389.93171,2704,2738,23.3,63.0,10.0,2
