commune,candidat,pct_2022,target_2022,prediction,correct
Faches-Thumesnil,MÉLENCHON,33.89,1,1,1
Faches-Thumesnil,MACRON,27.46,0,1,0
Lille,MÉLENCHON,47.4,1,1,1
Lille,MÉLENCHON,36.61,0,1,0
Loos,MÉLENCHON,32.0,1,1,1
Loos,LE PEN,24.12,0,0,1
Villeneuve-d'Ascq,MÉLENCHON,34.2,1,1,1
Villeneuve-d'Ascq,MACRON,29.46,0,1,0
Lezennes,MÉLENCHON,28.13,1,1,1
Lezennes,MACRON,25.42,0,0,1
Mons-en-Baroeul,MÉLENCHON,38.62,1,1,1
Mons-en-Baroeul,MACRON,24.71,0,0,1
Ronchin,MÉLENCHON,31.48,1,1,1
Ronchin,MACRON,27.13,0,1,0
Aibes,LE PEN,41.0,1,1,1
Aibes,MACRON,19.0,0,0,1
Amfroipret,LE PEN,39.42,1,1,1
Amfroipret,MACRON,27.01,0,1,0
Anor,LE PEN,42.77,1,1,1
Anor,MACRON,19.14,0,0,1
Assevent,LE PEN,41.87,1,1,1
Assevent,MACRON,21.47,0,0,1
Audignies,LE PEN,41.07,1,1,1
Audignies,MACRON,18.75,0,0,1
Avesnes-sur-Helpe,LE PEN,33.3,1,1,1
Avesnes-sur-Helpe,MACRON,25.18,0,0,1
Baives,LE PEN,38.6,1,1,1
Baives,MACRON,29.82,0,1,0
Bas-Lieu,LE PEN,35.94,1,1,1
Bas-Lieu,MACRON,31.77,0,1,0
Bavay,LE PEN,38.38,1,1,1
Bavay,MACRON,25.3,0,0,1
Beaurieux,LE PEN,32.94,1,1,1
Beaurieux,MACRON,30.59,0,1,0
Bellignies,LE PEN,37.61,1,1,1
Bellignies,MACRON,25.9,0,0,1
Bérelles,LE PEN,42.22,1,1,1
Bérelles,ZEMMOUR,18.89,0,0,1
Bermeries,LE PEN,33.0,1,1,1
Bermeries,MACRON,20.5,0,0,1
Bersillies,MACRON,34.56,1,1,1
Bersillies,LE PEN,33.82,0,1,0
Bettignies,LE PEN,41.51,1,1,1
Bettignies,MACRON,24.53,0,0,1
Bettrechies,LE PEN,35.86,1,1,1
Bettrechies,MACRON,22.07,0,0,1
Beugnies,LE PEN,36.02,1,1,1
Beugnies,MACRON,27.38,0,0,1
Bousignies-sur-Roc,LE PEN,33.79,1,1,1
Bousignies-sur-Roc,MACRON,19.31,0,0,1
Boussois,LE PEN,45.72,1,1,1
Boussois,MÉLENCHON,19.69,0,0,1
Cerfontaine,LE PEN,43.88,1,1,1
Cerfontaine,MACRON,23.67,0,0,1
Choisies,LE PEN,28.95,1,1,1
Choisies,MACRON,28.95,0,1,0
Clairfayts,LE PEN,44.44,1,1,1
Clairfayts,MACRON,16.05,0,0,1
Colleret,LE PEN,46.04,1,1,1
Colleret,MACRON,20.74,0,0,1
