commune,candidat,pct_2017,target_2017,taux_chomage,revenu_median,taux_faible_diplome,taux_delinquance,population_municipale,pct_2022,target_2022,Tg
Abancourt,FILLON,21.54,0.0,9.09,22772.0,53.61,0.0,461.0,0.0,0.0,0
Abancourt,LE PEN,30.23,1.0,9.09,22772.0,53.61,0.0,461.0,29.64,1.0,1
Abancourt,MACRON,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.69,0.0,0
Abscon,LE PEN,42.55,1.0,20.42,17482.0,51.2,41.22,4440.0,49.04,1.0,1
Abscon,MACRON,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0
Abscon,MÉLENCHON,22.62,0.0,20.42,17482.0,51.2,41.22,4440.0,0.0,0.0,0
Aibes,LE PEN,43.14,1.0,3.23,17514.0,43.98,0.0,374.0,41.0,1.0,1
Aibes,MACRON,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0
Aibes,MÉLENCHON,15.2,0.0,3.23,17514.0,43.98,0.0,374.0,0.0,0.0,0
Aix,FILLON,31.1,1.0,3.85,25532.0,58.73,0.0,1185.0,0.0,0.0,0
Aix,LE PEN,22.38,0.0,3.85,25532.0,58.73,0.0,1185.0,24.91,0.0,0
Aix,MACRON,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.8,1.0,1
Allennes-les-Marais,LE PEN,26.63,1.0,9.38,22985.0,58.76,14.15,3462.0,29.43,1.0,1
Allennes-les-Marais,MACRON,22.01,0.0,9.38,22985.0,58.76,14.15,3462.0,28.45,0.0,0
Amfroipret,FILLON,23.29,0.0,10.52,24860.0,55.44,0.0,228.0,0.0,0.0,0
Amfroipret,LE PEN,30.14,1.0,10.52,24860.0,55.44,0.0,228.0,39.42,1.0,1
Amfroipret,MACRON,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.01,0.0,0
Anhiers,LE PEN,43.1,1.0,13.51,19649.0,48.73,0.0,904.0,46.51,1.0,1
Anhiers,MÉLENCHON,25.71,0.0,13.51,19649.0,48.73,0.0,904.0,16.77,0.0,0
Aniche,LE PEN,41.42,1.0,23.83,15799.0,50.3,42.32,10303.0,44.63,1.0,1
