commune,bloc_vainqueur,target_mc,target_label,prediction,prediction_label,correct
Faches-Thumesnil,GAUCHE,2,GAUCHE,0,CENTRE,0
Lille,GAUCHE,2,GAUCHE,2,GAUCHE,1
Loos,GAUCHE,2,GAUCHE,1,DROITE,0
Villeneuve-d'Ascq,GAUCHE,2,GAUCHE,2,GAUCHE,1
Lezennes,GAUCHE,2,GAUCHE,0,CENTRE,0
Mons-en-Baroeul,GAUCHE,2,GAUCHE,2,GAUCHE,1
Ronchin,GAUCHE,2,GAUCHE,0,CENTRE,0
Aibes,DROITE,1,DROITE,1,DROITE,1
Amfroipret,DROITE,1,DROITE,1,DROITE,1
Anor,DROITE,1,DROITE,1,DROITE,1
Assevent,DROITE,1,DROITE,1,DROITE,1
Audignies,DROITE,1,DROITE,1,DROITE,1
Avesnes-sur-Helpe,DROITE,1,DROITE,2,GAUCHE,0
Baives,DROITE,1,DROITE,1,DROITE,1
Bas-Lieu,DROITE,1,DROITE,1,DROITE,1
Bavay,DROITE,1,DROITE,1,DROITE,1
Beaurieux,DROITE,1,DROITE,1,DROITE,1
Bellignies,DROITE,1,DROITE,1,DROITE,1
Bérelles,DROITE,1,DROITE,1,DROITE,1
Bermeries,DROITE,1,DROITE,1,DROITE,1
Bersillies,CENTRE,0,CENTRE,1,DROITE,0
Bettignies,DROITE,1,DROITE,1,DROITE,1
Bettrechies,DROITE,1,DROITE,1,DROITE,1
Beugnies,DROITE,1,DROITE,1,DROITE,1
Bousignies-sur-Roc,DROITE,1,DROITE,1,DROITE,1
Boussois,DROITE,1,DROITE,1,DROITE,1
Cerfontaine,DROITE,1,DROITE,1,DROITE,1
Choisies,DROITE,1,DROITE,1,DROITE,1
Clairfayts,DROITE,1,DROITE,1,DROITE,1
Colleret,DROITE,1,DROITE,1,DROITE,1
Cousolre,DROITE,1,DROITE,1,DROITE,1
Damousies,DROITE,1,DROITE,1,DROITE,1
Dimechaux,DROITE,1,DROITE,1,DROITE,1
Dimont,CENTRE,0,CENTRE,1,DROITE,0
Dompierre-sur-Helpe,DROITE,1,DROITE,1,DROITE,1
Dourlers,DROITE,1,DROITE,1,DROITE,1
Eccles,DROITE,1,DROITE,1,DROITE,1
Elesmes,DROITE,1,DROITE,1,DROITE,1
Eppe-Sauvage,DROITE,1,DROITE,1,DROITE,1
Feignies,DROITE,1,DROITE,1,DROITE,1
Felleries,DROITE,1,DROITE,1,DROITE,1
Féron,CENTRE,0,CENTRE,1,DROITE,0
Ferrière-la-Grande,DROITE,1,DROITE,1,DROITE,1
Ferrière-la-Petite,DROITE,1,DROITE,1,DROITE,1
La Flamengrie,DROITE,1,DROITE,0,CENTRE,0
Flaumont-Waudrechies,DROITE,1,DROITE,1,DROITE,1
Floursies,DROITE,1,DROITE,0,CENTRE,0
Fourmies,DROITE,1,DROITE,2,GAUCHE,0
Glageon,DROITE,1,DROITE,1,DROITE,1
